number,air_pressure_9am,air_temp_9am,avg_wind_direction_9am,avg_wind_speed_9am,max_wind_direction_9am,max_wind_speed_9am,rain_accumulation_9am,rain_duration_9am,relative_humidity_9am,relative_humidity_3pm
0,918.06,74.822,271.1,2.0803542,295.4,2.8632832,0,0,42.42,36.16
1,917.3476881,71.40384263,101.9351794,2.443009216,140.4715485,3.533323602,0,0,24.32869729,19.4265968
2,923.04,60.638,51,17.0678522,63.7,22.1009672,0,20,8.9,14.46
3,920.5027512,70.13889487,198.8321327,4.337363056,211.2033412,5.19004536,0,0,12.18910187,12.74254735
4,921.16,44.294,277.8,1.8566602,136.5,2.8632832,8.9,14730,92.41,76.74
5,915.3,78.404,182.8,9.9320136,189,10.9833754,0.02,170,35.13,33.93
6,915.5988675,70.04330432,177.8754072,3.745586538,186.6066959,4.589632429,0,0,10.65742166,21.38565673
7,918.07,51.71,242.4,2.5277422,271.6,3.6462122,0,0,80.47,74.92
8,920.08,80.582,40.7,4.5186188,63,5.8831522,0,0,29.58,24.03
9,915.01,47.498,163.1,4.9436374,195.9,6.5766036,0,0,88.6,68.05
10,919.65,77.036,70.6,3.8251674,85.5,4.7646822,0,0,22.07,32.13
11,915.64,45.716,241.6,5.8607828,265.8,8.0306146,0.55,1770,90.56,79.09
12,917.39,49.784,204.1,1.2750558,211.8,2.013246,0,0,73.15,58.43
13,920.82,62.438,213.6,2.6172198,165.7,3.3106712,0,0,43.64,27.99
14,911,86.432,202.9,1.2079476,162.9,1.677705,0,0,15.19,24.37
15,922.3831312,70.86526349,36.17417478,1.847278084,58.42863249,2.529142074,0,0,12.11088934,14.80170596
16,917.89,,169.2,2.1922012,196.8,2.9303914,0,0,48.99,51.19
17,916.9152554,77.01896058,234.539345,2.274725297,229.4741987,2.906513109,0,0,21.03146177,20.75568332
18,918.8,67.082,176.1,4.8765292,183.4,5.5699806,0,0,18.9,45.87
19,922.04,68.576,58.3,9.5517338,81.9,12.5716028,0,0,7.54,7.74
20,919.9922622,62.96438312,54.79909362,12.68043574,74.25422349,15.45230581,0,0,18.80951786,14.64990936
21,917.23,67.676,177.8,2.460634,93.2,3.2883018,0,0,40.64,41.34
22,921.125626,68.81877189,71.79909228,2.576537767,95.47233356,3.487443587,0,0,11.74220123,17.28116117
23,920.35,47.57,192.1,6.263432,205.7,7.605596,0,0,54.55,66
24,921.7882289,71.65957221,217.4055201,1.946446506,253.758003,2.719711659,0,0,11.19424977,16.33171563
25,918.03,50.666,128.9,2.5277422,117.4,4.0041226,0,0,76.88,47.03
26,914.49,49.892,163,4.8541598,189.6,6.7331894,0,0,92.1,90.99
27,914.9,78.62,203.3,1.8119214,240,2.7514362,0,220,47.89,43.9
28,915.84,40.118,171.9,10.5359874,188,12.9295132,0,0,86.43,84.39
29,916.31,45.428,183.1,8.3437862,194.6,10.0885994,0,0,86.15,90.58
30,919.35,91.112,96.4,2.5277422,96.3,3.3777794,0,0,25.62,35.69
31,916.28,55.544,174.6,2.5948504,191.7,3.3777794,0,0,79.92,61.84
32,918.7,76.226,184.6,4.0936002,194.9,4.7423128,0,0,19.17,31.97
33,918.37,63.914,53.7,14.4506324,72.1,17.0454828,0,0,19.68,14.54
34,923.6,59.882,192.8,4.2949248,203.5,5.1897008,0,0,22.47,14.26
35,917.3,85.082,149.7,2.013246,71,2.8632832,0,0,32.02,29.84
36,912.64,53.996,177.7,6.822667,190.7,8.6345884,0,0,89.77,55.57
37,914.67,64.166,137.8,2.125093,177,2.7290668,0,0,58.57,39.96
38,914.66,50.36,177.6,8.5227414,186.3,10.0214912,0,20,91.22,88.35
39,921.9699513,60.95534153,164.621486,1.664442299,195.7799675,2.367181133,0,0,12.1096289,15.84956394
40,919.3,64.22,182.2,10.7596814,186.5,11.7886738,0,0,34.63,61.32
41,921.09,68.666,50.7,14.204569,62.5,17.0454828,0,0,17.58,14.24
42,921.5,49.55,90.7,1.7448132,112.3,2.684328,1.53,5420,34.35,49.5
43,914.9,64.688,174.6,5.6594582,184.5,6.8674058,0,0,43.37,49.39
44,924.2,68.882,56.3,9.8872748,69,11.8781514,0,0,14.23,13.58
45,914.54,67.658,170.2,8.2543086,184.3,10.849159,0,0,35.05,48.76
46,917.9,65.66,183.7,6.0621074,188.5,6.5094954,0.021,319,74.22,69.19
47,916.05,87.188,210,1.565858,109.3,2.5948504,0,0,12.88,14.83
48,920.23,67.316,153.2,1.230317,136.9,2.0803542,0,0,13.89,20.52
49,923.6636768,69.03107042,64.68990787,7.55777528,73.04923224,8.819354482,0,0,14.69250133,17.88774436
50,921.9,65.876,199,4.4962494,207.2,5.3239172,0,0,10.35,15.37
51,918.58,76.982,150.7,1.3197946,182,1.9461378,0,0,15.54,29.09
52,922.36,74.336,166.9,4.1830778,210,6.9121446,0,0,12.48,12.71
53,922.928409,68.92146556,54.66611121,9.7874074,82.62134109,13.33468856,0,0,8.082800654,7.187360985
54,923.01855,70.33053243,152.5635421,3.059696039,181.27478,4.269037625,0,0,22.85968417,18.79464702
55,916.42,45.014,82.8,3.0646078,129.8,4.809421,8.74,7000,57.71,41.8
56,922.57,45.626,182.8,5.2120702,191.4,6.0173686,0,0,85.71,80.23
57,920.03,66.992,172.5,2.460634,168.1,3.3106712,0,0,29.89,39.95
58,919.09,76.766,166.2,1.2974252,199,1.8119214,0,0,19.74,23.29
59,916.18,61.304,173.6,1.7224438,209.4,2.5277422,0,0,78.78,62.25
60,917.8,73.778,181.9,0.9395148,185.3,1.5434886,0,0,11.48,18.49
61,918.54,46.652,213.6,16.4862478,221.2,18.0297364,0.08,1153,91.36,89.93
62,918.24,61.988,78.4,4.4515106,45.1,5.8384134,0,0,60.65,41.24
63,917.02,53.258,180.2,3.131716,216.6,4.4515106,0,0,25.09,28.43
64,919.41,78.314,183.7,3.7580592,42.7,5.3910254,0,0,29.71,23.11
65,921.29,83.228,162.6,2.6619586,194,3.5567346,0,0,16.5,18.32
66,922.06,61.754,56.2,10.4241404,77,13.42164,0,0,17.7,14.79
67,925.5882714,66.35298837,56.06405656,17.52793246,67.93988014,20.97118326,0,0,14.4246214,11.43602921
68,917.58,69.368,180.7,6.9568834,191.7,8.6345884,0,0,28.63,37.82
69,922.2062329,57.03648251,48.36270145,12.38532935,64.90532836,15.78933106,0,0,14.9694299,21.98746067
70,917.7625807,82.06433413,110.2578524,2.234508146,129.7798795,3.206254488,0,0,16.57866197,19.13732393
71,925.0971257,57.13349912,52.96893276,14.61830695,69.00705655,19.21431385,0,1.540448294,18.64230606,18.06422562
72,920.7428234,74.51537627,51.42271867,13.87609399,66.85476324,16.98617834,0.01,75.86295265,9.406636211,8.283812813
73,916.75,54.572,233.5,1.5211192,231.8,2.2816788,0,0,89.84,54.5
74,922.79,53.978,182.6,1.8566602,208.2,2.6395892,0.02,180,17.39,39.19
75,920.1,53.492,186.1,13.4440094,193.8,15.3677778,0,0,31.47,64.88
76,922.0704549,76.74220082,165.7364076,3.771458562,205.6703539,6.004160988,0,0,13.56782358,14.22808216
77,921.61,38.138,46.6,4.5186188,59.6,5.5252418,0,0,29.8,16.4
78,916.22,68.252,183.1,9.9320136,190.8,11.1623306,0,0,24.66,40.47
79,915.57,61.34,174.3,4.8988986,180.6,5.5028724,0,0,13.89,56.96
80,916.8,65.444,164.4,3.5567346,196.6,4.7199434,0,0,21.61,28.39
81,917.46,58.298,182.3,5.9055216,190.3,6.934514,0,0,25.76,41.47
82,925.74,49.55,154.2,2.3264176,197.1,3.4001488,0,0,69.78,52.05
83,917.67,43.862,192.9,5.8384134,206.4,7.270055,0,0,85.18,20.71
84,920.93,63.824,196.4,7.6503348,204,8.5674802,0,0,20.63,26.89
85,916.82,50.288,73.7,2.684328,90.4,3.4225182,0.47,1030,58.73,63.44
86,917.2683056,85.66162976,266.4934619,2.158058057,194.7025114,2.829140057,0.031174102,70.52665037,31.21856628,23.40857794
87,921.39,76.082,225.1,1.901399,251.1,2.572481,0.04,300,47.52,19.94
88,915.9144357,69.38887311,46.73617058,10.97695077,64.64468233,14.29761714,0,9.397156951,8.498335363,12.69854598
89,919,68.162,98.6,1.7224438,126.4,2.3040482,0,0,34.63,55.07
90,918.8846912,72.89987778,163.5151929,1.026577543,196.1572631,1.482193818,0,0,18.91876489,20.27354026
91,915.32,83.84,219.9,1.5211192,245,2.0579848,0,0,17.49,42.22
92,918.8503361,74.08463941,69.44844917,3.416405485,103.0589152,4.748526322,0,0,11.07931552,16.47832778
93,921.4081299,47.97039461,46.31142851,10.99845315,67.23285724,14.38541279,0,0,22.14770138,21.86553243
94,913.3,79.376,52.2,3.2211936,37.4,4.0936002,0,0,13.07,26.93
95,927.61,54.896,55,4.9883762,53.4,7.2029468,0,0,13.51,14.05
96,921.8744784,68.09384795,70.90865373,2.14658555,96.09530367,2.891294671,0,0,12.47944521,19.57991484
97,921.54,43.16,52.5,23.5549782,68,29.8407796,0.05,100,19.38,18.38
98,916.52,51.638,190.8,7.4042714,198,8.388525,0.37,2170,91.69,78.51
99,921.39,46.67,46,1.7000744,72.7,2.2145706,0,0,38.09,35.18
100,918.9,77.558,212,1.1855782,154.1,1.8342908,0,0,62.1,56.93
101,919.56,78.476,179.3,5.9502604,192.2,6.9792528,0,0,20.19,18.76
102,919.4478167,61.5186601,53.18264797,14.40562685,72.12874178,17.6112668,0,0,19.53916528,15.46261112
103,921.5,54.536,220,5.0107456,234.9,6.4423872,0,0,82.28,83.84
104,919.7734056,68.72379995,55.22713277,16.12642905,74.30451646,20.82389079,0,0,15.05815004,9.664422897
105,917.4,73.868,181.7,4.138339,189.8,4.7646822,0.05,460,58.91,47.53
106,914.95,47.21,183.9,7.6279654,191.2,8.612219,20.02,11650,90.68,65.65
107,918.1229673,69.6873731,224.5948837,3.65013425,242.0776685,4.774079056,0,0,17.1085399,22.39256638
108,920.36,74.192,56.1,4.7199434,72.7,5.5699806,0,0,14.73,17.5
109,923.62,62.6,63.7,4.9436374,75.5,6.0621074,0,0,28.55,20.04
